label,description,score_type,weight,section
"Agent introduced themselves, company, and purpose clearly","Did the agent introduce themselves, the company, and purpose clearly?",binary,1,1. Opening & Compliance
Call recording disclosure provided,Did the agent provide the call recording disclosure before proceeding?,binary,1,1. Opening & Compliance
DPA completed correctly,"Did the agent complete DPA correctly (name, address, postcode, bill payer)?",binary,1.5,1. Opening & Compliance
Permission obtained after verification,Did the agent obtain permission to proceed after verification?,binary,1,1. Opening & Compliance
Full needs analysis completed,"Did the agent complete a full needs analysis (provider, contract, usage, devices, budget)?",binary,1.5,2. Needs & KOA Discovery
KOA inputs entered accurately,Did the agent enter all KOA inputs accurately without manipulation?,binary,2,2. Needs & KOA Discovery
Telecare requirements confirmed,Did the agent confirm Telecare requirements?,binary,1,3. Vulnerability & Duty of Care
Vulnerability signs identified,Did the agent identify any signs of vulnerability appropriately?,binary,1.5,3. Vulnerability & Duty of Care
Communication adapted where needed,"Did the agent adapt communication (pace, clarity, check understanding) where needed?",binary,1,3. Vulnerability & Duty of Care
Escalation steps followed if needed,Did the agent follow escalation steps if customer struggled?,binary,1,3. Vulnerability & Duty of Care
Required product information provided,"Did the agent provide all required product information (Speed, Averages, Price, Connection type, Contract Length, Price Rises etc)?",binary,1.5,4. KOA Comparison
Customer details confirmed correctly,Did the agent confirm customer details correctly?,binary,1,5. Recap & Confirmation
Payment details handled securely,Did the agent handle payment details securely (no repeating banking info)?,binary,2,5. Recap & Confirmation
T&Cs summarised correctly,Did the agent correctly summarise T&Cs without altering meaning?,binary,2,5. Recap & Confirmation
Cooling-off and cancellation rights explained,Did the agent explain cooling-off and cancellation rights?,binary,1.5,5. Recap & Confirmation
Mandatory statements covered,Did the agent cover all mandatory statements throughout the journey?,binary,1.5,5. Recap & Confirmation
One touch switch explained,Did the agent clearly explain one touch switch?,binary,1,5. Recap & Confirmation
Professional rapport maintained,"Did the agent maintain rapport and a professional call flow while remaining polite, friendly, and respectful?",binary,1,6. Behaviour & Integrity
No misleading or pressure tactics,"Did the agent avoid misleading statements, pressure-selling, urgency tactics, or any form of mis-selling?",binary,2.5,6. Behaviour & Integrity
Clear consent obtained for contract,Did the agent ensure the customer gave clear consent to enter into a contract?,binary,2,7. Closing
Order processing handoff confirmed,Did the agent confirm the order would be passed to the order processing team?,binary,1,7. Closing
Energy transfer process explained,Did the agent correctly explain the energy transfer process and obtain permission to transfer?,binary,1,8. Energy Hotkey
Customer numbers passed to energy hotkey,Did the agent pass the customer's numbers to the energy hotkey?,binary,1,8. Energy Hotkey
Correct mobile product information given,Did the agent give correct product information?,binary,1,9. Mobile
Exit fees advised when keeping number,Did the agent advise the customer of any exit fees when keeping the same number?,binary,1,9. Mobile
Customer identified as homeowner,Did the agent correctly identify the customer as a homeowner?,binary,1,10. Utility Warehouse
Bundling benefits explained,Did the agent correctly explain the benefits of bundling (contract buy out 3+ services)?,binary,1,10. Utility Warehouse
Cashback card explained correctly,Did the agent correctly explain the cashback card when offering it?,binary,1,10. Utility Warehouse
