label,description,score_type,weight,severity
"Adviser introduced self, Trust Point, and purpose of call","Opening: Did the adviser introduce themselves by name, state they are calling from Trust Point Mortgage and Protection Services, and explain the purpose of the call?",binary,1,low
Explained the call is to review the customer's protection needs,Opening: Did the adviser explain they are calling to understand the customer's situation and see what protection cover may be suitable?,binary,1,low
Stated Trust Point is authorised and regulated by the FCA,Regulatory (word-for-word): Did the adviser state that Trust Point Mortgage and Protection Services is authorised and regulated by the FCA?,binary,1,high
"Confirmed fully-advised, whole-of-market, no fee",Regulatory (word-for-word): Did the adviser confirm they work on a fully advised basis with all major insurers/lenders and do not charge a fee for the service?,binary,1,high
Gave the call-recording disclosure,Regulatory (word-for-word): Did the adviser confirm that all calls are recorded for training and monitoring purposes?,binary,1,high
Set expectations for the fact-find,"Opening: Did the adviser explain they will ask about circumstances, financial commitments, income, family situation and existing cover before advising?",binary,1,low
Informed customer of the services the company provides,Mandatory services: Did the adviser inform the customer of the services the company provides while finalising details?,binary,1,medium
Told customer key facts & services sent by email,"Mandatory services: Did the adviser say that if a policy is arranged, the full key facts document and services provided will be sent by email?",binary,1,medium
Mentioned policy can be placed in Trust free of charge,Next steps: Did the adviser mention the policy can be put into Trust free of charge where applicable?,binary,1,low
Explained data sharing with insurer & verification provider and sought agreement,"Data sharing: Did the adviser explain information is shared with the insurer and external verification provider only, never passed elsewhere, and ask if that is alright?",binary,1,high
Obtained a clear 'yes' to information sharing (hard consent),Consent (hard yes required): Did the adviser obtain an explicit 'yes' from the customer to the information-sharing statement before proceeding?,binary,1,critical
Covered cancellation rights and privacy policy,Cancellation: Did the adviser say the policy can be cancelled at any time and reference the privacy policy on the website?,binary,1,medium
Delivered the vulnerability / duty-of-care statement,"Vulnerability (Consumer Duty): Did the adviser deliver the duty-of-care statement, mention vulnerability, and offer the 'Support When You Need It Most' brochure?",binary,1,high
Summarised the client's main risks and confirmed agreement,Needs summary: Did the adviser summarise the client's main areas of concern/risk and confirm the client agrees before moving to the recommendation?,binary,1,medium
Gave the recommendation and checked 'have I got that right?',Recommendation (word-for-word): Did the adviser state the areas of concern / recommendation and check 'have I got that right?',binary,1,high
