label,description,score_type,weight,severity,section,item_type,expectation,ai_check,consent_gate,vulnerability_related
Introduced themselves and Service Box and completed the DPA check,"Did the agent give their own name and the company name, and ask the customer for two pieces of information to pass data protection before discussing details held about them?",binary,0.69,medium,Introduction,ai,"As per the Introduction section of the script for the product being sold. The agent's name and the company name are required on every call. The data protection check needs two pieces of identifying information from the customer before held details are discussed: first line of address and postcode count as two, as do surname and postcode. Asking for the customer by name at the start does not replace the check, but a full name is not required when two other pieces were given. Judge that the agent asked for two pieces and the customer answered: a single location tag in the reply can hold both address and postcode.",,false,false
Explained the plan's features and customer benefits,"Did the agent explain the features of the plan and what the customer gets from it, as set out in the 'Pitch / Uncover the need' section of the script for the product being sold?",binary,0.69,medium,Benefit & Replacement Terms,ai,The features and benefits named in that product's script must be covered in substance; exact wording is not required. Naming the plan without saying what it provides is a fail.,,false,false
"Stated the plan duration, monthly cost and total cost",Did the agent tell the customer the plan runs for one year and state both the monthly cost and the total cost of the plan?,binary,0.66,critical,Duration & Costs,ai,"All three are needed: the one-year duration (12 monthly payments, or cover running from today to a date a year away, counts), the monthly amount and the total cost. The total must be stated as an amount; a monthly amount and a duration alone do not meet this. Dates, amounts and account digits appear in the transcript as tags such as [DATE_1], [MONEY_2] or [BANK_ACCOUNT_1]: a tag means the agent did state that value. For a one-off Boiler Service Only or Heat Pump Service Only sale there is no monthly plan, and stating the full one-off price meets this.",,false,false
Made the first payment date clear,Did the agent tell the customer the date the first monthly payment will be taken?,binary,0.66,critical,Duration & Costs,ai,"Saying when the first payment will come out, e.g. ""no payment until the [DATE_1]"", meets this. Dates, amounts and account digits appear in the transcript as tags such as [DATE_1], [MONEY_2] or [BANK_ACCOUNT_1]: a tag means the agent did state that value. For a one-off Boiler Service Only or Heat Pump Service Only sale, the full payment must be taken during this call instead; setting up a monthly Direct Debit for a one-off service is a fail.",,false,false
"Explained the plan's exclusions, and the contribution level on plans that have one","Did the agent explain the exclusions of the plan as set out in the script for the product being sold and, on Boiler, Heat Pump, Homecare and Plumbing & Drains plans, confirm the contribution level the customer has selected?",binary,1.32,critical,Exclusions,ai,"Script section by product: Appliance and Additional Cover Appliances, 'Pitch / Uncover the need'; Boiler, 'Boiler Product Information'; Heat Pump, Homecare, Plumbing & Drains and Hot Water Cylinder, 'Main Exclusions'. Leaving out an exclusion listed in that section is a fail. Appliance, Additional Cover Appliances and Hot Water Cylinder plans have no contribution level, so the exclusions alone meet this on those plans. Appliance plans come in two pricings, and either is a pass: on Standard pricing the agent lists damage caused by accident as an exclusion; on Dynamic pricing accidental damage is covered, so the agent leaves it out of the exclusions and may say the plan covers damage. Do not fail an appliance plan because the pricing type was not named.",,false,false
Confirmed the items to be protected are in good working order,"Did the agent get the customer's confirmation that the items to be protected are in good working order with no current faults, during the sale and again in the final statement?",binary,1.32,critical,Good Working Order,ai,"Appliance, Boiler, Heat Pump and Homecare plans need two separate confirmations: one during the sale and one repeated in the final statement; a single confirmation is a fail. The first can be the agent checking earlier in the call that the items are working with no problems, as long as the customer answers; on a call to an existing customer, checking that the appliances they already have covered are working counts, even when further appliances are then added. A short reply such as ""yeah"", ""yes"" or ""correct"" counts as confirmation, even alongside filler words; a reply that trails off, shows the customer is unsure, or does not answer the question does not. For Homecare the confirmation covers the boiler, plumbing, drains and home electrics. Plumbing & Drains and Hot Water Cylinder plans need one confirmation, in the final statement, that there are no current faults with the plumbing and drains or the hot water cylinder. Additional Cover Appliances is a separate product sold on its own 'Additional Cover Protection Plan' script; on that product this check is not required, so mark it met and say so. Adding appliances to an existing plan, upgrading, downgrading or restarting an appliance plan is an Appliance Protection sale, and this check applies in full.",,true,false
Confirmed the items are not covered elsewhere and are for domestic use only,"Did the agent get the customer's confirmation that the items to be protected are not covered elsewhere and, on Appliance, Boiler and Heat Pump plans, that they are used for domestic purposes only?",binary,0.66,critical,Mandatory Confirmation,ai,"By product: Appliance, Boiler and Heat Pump, not covered elsewhere and domestic use only; Homecare, not covered elsewhere for the boiler, plumbing, drains and home electrics; Plumbing & Drains and Hot Water Cylinder, not covered elsewhere. The manufacturer's warranty is scored by a separate check; do not consider it here. A short reply such as ""yeah"", ""yes"" or ""correct"" counts as confirmation, even alongside filler words; a reply that trails off, shows the customer is unsure, or does not answer the question does not. Additional Cover Appliances is a separate product sold on its own 'Additional Cover Protection Plan' script; on that product this check is not required, so mark it met and say so. Adding appliances to an existing plan, upgrading, downgrading or restarting an appliance plan is an Appliance Protection sale, and this check applies in full.",,true,false
Confirmed the appliances are outside the manufacturer's warranty,"On an Appliance plan, did the agent get the customer's confirmation that the appliances to be protected are outside the manufacturer's warranty?",binary,0.66,critical,Mandatory Confirmation,ai,"The agent must mention the manufacturer's warranty (e.g. ""outside of the manufacturer's warranty"" or ""out of warranty"") and the customer must confirm. Confirming only that the items are not covered elsewhere and for domestic use does not meet this: quote the confirmation and say whether the warranty was mentioned. Boiler, Heat Pump, Homecare, Plumbing & Drains and Hot Water Cylinder plans have no warranty requirement: mark this met and say so. A short reply such as ""yeah"", ""yes"" or ""correct"" counts as confirmation, even alongside filler words; a reply that trails off, shows the customer is unsure, or does not answer the question does not. Additional Cover Appliances is a separate product sold on its own 'Additional Cover Protection Plan' script; on that product this check is not required, so mark it met and say so. Adding appliances to an existing plan, upgrading, downgrading or restarting an appliance plan is an Appliance Protection sale, and this check applies in full.",,true,false
"Offered the Direct Debit guarantee, checked the account, and gave the 14-day cancellation period","Did the agent offer to read the Direct Debit guarantee and confirm the Direct Debit details, check the account with the customer, and tell the customer about the 14-day cancellation period?",binary,0.69,medium,DD Guarantee & Cancellation Period,ai,"Offering to read the guarantee counts, even if the customer declines it or asks for it in the post. Account check: where the account is already held, the agent confirms the account ending digits with the customer; where new account details are taken, the agent confirms the customer is the only person required to authorise Direct Debits on it. Either check meets the account part. Dates, amounts and account digits appear in the transcript as tags such as [DATE_1], [MONEY_2] or [BANK_ACCOUNT_1]: a tag means the agent did state that value. Judge whether the check was carried out, not whether the digits matched. Telling the customer they have 14 days to change their mind or cancel (a ""cooling off"" period, sometimes transcribed as ""calling off"") meets the cancellation part. For a one-off service paid in full on the call there is no Direct Debit, and the 14-day cancellation period alone meets this.",,false,false
"Asked for or confirmed the customer's email, with post only at the customer's request","Did the agent ask for or confirm the customer's email address for the plan documents, and only arrange postal documents if the customer asked for them?",binary,0.66,critical,Plan Set Up & Commitments,ai,"Asking for the email address, or confirming one already held, meets the email part; asking whether the customer has an email address counts. Post is customer led when the customer asked for it or said they have no email or cannot use it; sending documents by post in that case is correct. The agent proposing post before asking about email is a fail. Email addresses appear as tags such as [EMAIL_ADDRESS_1], so judge whether it was asked for or confirmed.",,false,false
