label,description,score_type,weight,severity,section,item_type,branch,expectation,ai_check,consent_gate
"Adviser, firm and FCA authorisation stated","Did the adviser introduce themselves by name, name the firm, and state that the firm is authorised and regulated by the Financial Conduct Authority?",binary,1,medium,Disclosure,ai,,,,false
Call recording and data use disclosed,Did the adviser disclose that the call is recorded and explain in broad terms how the customer's information will be used?,binary,1,medium,Disclosure,ai,,,,false
Scope of service made clear (whole of market or panel),"Did the adviser explain the range of mortgages the advice covers — whole of market, a limited panel, or a single lender? MCOB 4.4A requires the customer to know the breadth of the service before advice is given.",binary,1.5,high,Disclosure,ai,,,,false
Advised basis made clear,"Did the adviser make clear that this is advised (a recommendation is being made), rather than an execution-only or information-only service?",binary,1.5,high,Disclosure,ai,,,,false
"Broker fee disclosed: amount, when payable, refundable","Did the adviser state any fee the customer will pay, how much it is, at what point it becomes payable, and whether it is refundable? A fee that only surfaces later in the process is a Consumer Duty and MCOB 4.4A failure, even if the amount is correct.",binary,2,critical,Disclosure,ai,,,,false
Lender commission / procuration fee disclosed,Did the adviser disclose that the firm will or may receive a commission or procuration fee from the lender?,binary,1.5,high,Disclosure,ai,,,,false
Data sharing explained and customer agreement obtained,Did the adviser explain that the customer's information will be shared with lenders and third parties for the purpose of the application AND obtain a clear affirmative from the customer? The customer's agreement must be given explicitly and must not be inferred from silence.,binary,1.5,high,Disclosure,ai,,,,true
Needs and circumstances established before any recommendation,"Did the adviser build a picture of what the customer needs and why — purchase or remortgage, property, timescales, priorities — BEFORE recommending a product? The need must be established, not assumed from the enquiry.",binary,2,critical,Fact find,ai,,,,false
"Income, employment and expenditure captured","Did the adviser establish income, employment basis (employed, self-employed, contract) and regular expenditure in enough detail to support an affordability view?",binary,1.5,high,Fact find,ai,,,,false
Existing credit commitments captured,"Did the adviser ask about existing debts and credit commitments — loans, cards, car finance, other borrowing?",binary,1,medium,Fact find,ai,,,,false
Deposit or available equity established,Did the adviser establish the deposit amount and its source (or the available equity on a remortgage)?,binary,1,medium,Fact find,ai,,,,false
Credit history explored,"Did the adviser ask about credit history — missed payments, defaults, CCJs or other adverse credit — before recommending a lender?",binary,1,medium,Fact find,ai,,,,false
Foreseeable changes in circumstances explored,"Did the adviser ask about known or likely future changes that would affect affordability over the term — retirement, a planned income change, starting a family, reduced hours?",binary,1.5,high,Fact find,ai,,,,false
Term extending into retirement addressed,"Where the recommended term runs to or beyond the customer's expected retirement age, did the adviser address how the mortgage will remain affordable in retirement? Mark not applicable only where the term clearly ends well before retirement.",binary,1.5,high,Fact find,ai,,,,false
Repayment method rationale given,"Did the adviser explain and justify the repayment method — capital repayment versus interest-only — rather than defaulting to one? Where interest-only is recommended, a credible and stated repayment strategy is required (MCOB 11.6.41).",binary,2,critical,Suitability,ai,,,,false
Term rationale given,"Did the adviser explain why the recommended term was chosen, and the trade-off between a longer term (lower monthly payment, more total interest) and a shorter one?",binary,1.5,high,Suitability,ai,,,,false
Product type rationale given,"Did the adviser explain why the recommended product type — fixed, tracker, discounted or variable — suits this customer's circumstances and attitude to payment risk?",binary,1.5,high,Suitability,ai,,,,false
